Model_Name,Topology_Vect,Model_arch,LR,TopoDim_concat,TopoDim,Config_file,Augmentation,Augmentation_Type,Train_loss,Train_Acc,Val_Loss,Val_Acc
BC_TR_0_9,bc,TR,0.0001,False,0,config/TBR_bc_small.json,0.5,all,1.5133444092970627,"tensor(94.8262, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.5000, device='cuda:0', dtype=torch.float64)"
BC_TBR_0_2,bc,TBR,0.0001,False,0,config/TBR_bc.json,0.5,topo,1.5262031928722677,"tensor(93.5369, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.9500, device='cuda:0', dtype=torch.float64)"
Land_TBR_0_10,land,TBR,0.0001,False,0,config/TBR_land_small.json,0.3,non-topo,1.4840088157827205,"tensor(97.7618, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.3500, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,1,config/TBR_land_small.json,0.5,non-topo,1.4948143070220947,"tensor(96.7554, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.5300, device='cuda:0', dtype=torch.float64)"
BC_TBR_2DIM_9,bc,TBR,0.0001,True,0,config/TBR_bc_2dim_small.json,0.3,topo,1.4879729728872126,"tensor(97.3636, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.6900, device='cuda:0', dtype=torch.float64)"
Land_TBR_0_10,land,TBR,0.0001,False,0,config/TBR_land_small.json,0.5,all,1.492099211223309,"tensor(96.9646, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.4800, device='cuda:0', dtype=torch.float64)"
BC_TBR_2DIM_9,bc,TBR,0.0001,True,0,config/TBR_bc_2dim_small.json,0.5,topo,1.5133059289198656,"tensor(94.8554, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.1600, device='cuda:0', dtype=torch.float64)"
PI_IMG_13_TBR_DIM1_N_LR,pi_img,TBR_img,0.0001,False,1,,0.3,all,1.49069741490104,"tensor(97.0945, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.8400, device='cuda:0', dtype=torch.float64)"
BC_TBR_10,bc,TBR,0.0001,False,1,config/TBR_bc_small.json,0.3,topo,1.5236344951976428,"tensor(93.8436, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.3200, device='cuda:0', dtype=torch.float64)"
LAND_2DIM_9,land,TBR,0.0001,True,0,config/TBR_land_2dim_small.json,0.5,all,1.4772967274445754,"tensor(98.4108, device='cuda:0', dtype=torch.float64)",0.0,"tensor(91.0100, device='cuda:0', dtype=torch.float64)"
PI_IMG_1_TBR_DIM0_S_LR,pi_img,TBR_img,0.0001,False,0,,0.5,non-topo,1.5007832404063297,"tensor(96.0908, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.3100, device='cuda:0', dtype=torch.float64)"
BC_TBR_10,bc,TBR,0.0001,False,1,config/TBR_bc_small.json,0.5,topo,1.516658533507127,"tensor(94.5262, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.2400, device='cuda:0', dtype=torch.float64)"
LAND_2DIM_9,land,TBR,0.0001,True,0,config/TBR_land_2dim_small.json,0.3,non-topo,1.479515914032676,"tensor(98.1891, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.2000, device='cuda:0', dtype=torch.float64)"
BC_TBR_15,bc,TBR,0.0001,False,1,config/TBR_bc_large.json,0.3,topo,1.53874116897583,"tensor(92.2709, device='cuda:0', dtype=torch.float64)",0.0,"tensor(84.0400, device='cuda:0', dtype=torch.float64)"
Land_TBR_10,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.5,all,1.4908852443108191,"tensor(97.0892, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.8900, device='cuda:0', dtype=torch.float64)"
BC_TBR_15,bc,TBR,0.0001,False,1,config/TBR_bc_large.json,0.5,topo,1.5280703112382157,"tensor(93.3292, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.8300, device='cuda:0', dtype=torch.float64)"
PI_IMG_16_TBR_DIM1_L_LR,pi_img,TBR_img,0.0001,False,1,,0.3,all,1.514474118752913,"tensor(94.7600, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.4000, device='cuda:0', dtype=torch.float64)"
BC_TR_0_9,bc,TR,0.0001,False,0,config/TBR_bc_small.json,0.3,topo,1.4991218380321156,"tensor(96.2891, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.9200, device='cuda:0', dtype=torch.float64)"
PI_IMG_13_TBR_DIM1_N_LR,pi_img,TBR_img,0.0001,False,1,,0.5,non-topo,1.488801964525076,"tensor(97.2938, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.1300, device='cuda:0', dtype=torch.float64)"
Land_TBR_09,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.3,non-topo,1.4803580735813489,"tensor(98.0982, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.5900, device='cuda:0', dtype=torch.float64)"
BC_TR_0_9,bc,TR,0.0001,False,0,config/TBR_bc_small.json,0.5,topo,1.5133444092970627,"tensor(94.8262, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.5000, device='cuda:0', dtype=torch.float64)"
Land_TBR_09,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.5,all,1.4759463845913228,"tensor(98.5508, device='cuda:0', dtype=torch.float64)",0.0,"tensor(90.7300, device='cuda:0', dtype=torch.float64)"
Land_TBR_0_10,land,TBR,0.0001,False,0,config/TBR_land_small.json,0.3,topo,1.4866226267727938,"tensor(97.4855, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.9800, device='cuda:0', dtype=torch.float64)"
PI_IMG_19_TBR_CONCAT_S_LR,pi_img,TBR_img,0.0001,True,1,,0.3,all,1.5099526297655972,"tensor(95.1909, device='cuda:0', dtype=torch.float64)",0.0,"tensor(85.2300, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,0,config/TBR_land_small.json,0.5,all,1.4939612285027135,"tensor(96.8108, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.4700, device='cuda:0', dtype=torch.float64)"
Land_TBR_0_10,land,TBR,0.0001,False,0,config/TBR_land_small.json,0.5,topo,1.492099211223309,"tensor(96.9646, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.4800, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,0,config/TBR_land_small.json,0.3,non-topo,1.5032282747615466,"tensor(95.8964, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.2300, device='cuda:0', dtype=torch.float64)"
LAND_2DIM_9,land,TBR,0.0001,True,0,config/TBR_land_2dim_small.json,0.3,topo,1.479515914032676,"tensor(98.1891, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.2000, device='cuda:0', dtype=torch.float64)"
PI_IMG_16_TBR_DIM1_L_LR,pi_img,TBR_img,0.0001,False,1,,0.5,non-topo,1.4996754966295682,"tensor(96.2215, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.9500, device='cuda:0', dtype=torch.float64)"
PI_IMG_34_TR_DIM0_L_LR,pi_img,TR_img,0.0001,False,0,,0.3,all,1.4893787609620528,"tensor(97.2291, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.5000, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,1,config/TBR_land_small.json,0.5,all,1.4948143070220947,"tensor(96.7554, device='cuda:0', dtype=torch.float64)",0.0,"tensor(89.5300, device='cuda:0', dtype=torch.float64)"
LAND_2DIM_9,land,TBR,0.0001,True,0,config/TBR_land_2dim_small.json,0.5,topo,1.4772967274445754,"tensor(98.4108, device='cuda:0', dtype=torch.float64)",0.0,"tensor(91.0100, device='cuda:0', dtype=torch.float64)"
Land_TBR_10,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.3,topo,1.4883400538531215,"tensor(97.3382, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.7900, device='cuda:0', dtype=torch.float64)"
PI_IMG_37_TR_DIM1_S_LR,pi_img,TR_img,0.0001,False,1,,0.3,all,1.50552732556083,"tensor(95.6673, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.2500, device='cuda:0', dtype=torch.float64)"
Land_TR_9,land,TR,0.0001,False,1,config/TBR_land_small.json,0.3,non-topo,1.4997225729682229,"tensor(96.2291, device='cuda:0', dtype=torch.float64)",0.0,"tensor(86.3200, device='cuda:0', dtype=torch.float64)"
Land_TBR_09,land,TBR,0.0001,False,1,config/TBR_land_small.json,0.3,topo,1.479297957680442,"tensor(98.2091, device='cuda:0', dtype=torch.float64)",0.0,"tensor(87.8200, device='cuda:0', dtype=torch.float64)"
PI_IMG_19_TBR_CONCAT_S_LR,pi_img,TBR_img,0.0001,True,1,,0.5,non-topo,1.5010580072549673,"tensor(96.0985, device='cuda:0', dtype=torch.float64)",0.0,"tensor(88.6100, device='cuda:0', dtype=torch.float64)"
